species,decimalLongitude,decimalLatitude
Tillandsia capillaris,-64.711681,-31.564033
Tillandsia capillaris,-72.263888,-13.258224
Tillandsia capillaris,-65.186637,-25.855902
Tillandsia capillaris,-71.979788,-13.514975
Tillandsia capillaris,-68.064669,-16.545536
Tillandsia capillaris,-68.094299,-16.550913
Tillandsia capillaris,-68.011773,-16.669605
Tillandsia capillaris,-72.268199,-13.258004
Tillandsia capillaris,-65.464708,-23.917494
Tillandsia capillaris,-65.074417,-24.531808
Tillandsia capillaris,-63.470732,-29.384489
Tillandsia capillaris,-64.466332,-31.24487
Tillandsia capillaris,-64.967743,-24.483068
Tillandsia capillaris,-64.573193,-31.908587
Tillandsia capillaris,-65.351906,-23.209036
Tillandsia capillaris,-64.818801,-31.688825
Tillandsia capillaris,-64.188776,-31.41774
Tillandsia capillaris,-66.262538,-17.589698
Tillandsia capillaris,-67.916681,-16.650593
Tillandsia capillaris,-68.878103,-33.19203
Tillandsia capillaris,-62.223358,-38.101434
Tillandsia capillaris,-62.021258,-38.071291
Tillandsia capillaris,-65.103254,-31.43531
Tillandsia capillaris,-63.766389,-35.658886
Tillandsia capillaris,-68.879105,-33.192093
Tillandsia capillaris,-62.265191,-38.695679
Tillandsia capillaris,-65.374258,-23.594542
Tillandsia capillaris,-64.983466,-32.322061
Tillandsia capillaris,-58.379868,-34.594082
Tillandsia capillaris,-68.96609,-33.0334
Tillandsia capillaris,-71.269169,-30.317447
Tillandsia capillaris,-69.091116,-16.160967
Tillandsia capillaris,-64.602554,-31.253533
Tillandsia capillaris,-72.4375,-16.537778
Tillandsia capillaris,-71.66768,-15.649494
Tillandsia capillaris,-71.877058,-15.608523
Tillandsia capillaris,-71.676878,-15.640534
Tillandsia capillaris,-70.148846,-17.890408
Tillandsia capillaris,-71.837303,-16.906693
Tillandsia capillaris,-71.979203,-13.512845
Tillandsia capillaris,-68.057856,-16.621403
Tillandsia capillaris,-70.690803,-16.206503
Tillandsia capillaris,-70.124317,-17.872817
Tillandsia capillaris,-72.44725,-16.529267
Tillandsia capillaris,-72.474567,-16.531133
Tillandsia capillaris,-66.329516,-17.387939
Tillandsia capillaris,-71.844639,-13.4086
Tillandsia capillaris,-67.631515,-29.185251
Tillandsia capillaris,-64.471588,-31.126214
Tillandsia capillaris,-62.223625,-38.098736
Tillandsia capillaris,-77.3,-11.916667
Tillandsia capillaris,-71.88209,-13.59489
Tillandsia capillaris,-61.987518,-38.064783
Tillandsia capillaris,-71.979155,-13.512313
Tillandsia capillaris,-70.030431,-17.442162
Tillandsia capillaris,-63.682063,-31.913429
Tillandsia capillaris,-70.67895,-16.192913
Tillandsia capillaris,-75.688538,-11.367078
Tillandsia capillaris,-75.683878000000007,-11.368055
Tillandsia capillaris,-75.656108,-11.351288
Tillandsia capillaris,-75.690613,-11.370675
Tillandsia capillaris,-72.894388,-15.202672
Tillandsia capillaris,-66.155097,-17.428185
Tillandsia capillaris,-77.795302,-9.084842
Tillandsia capillaris,-67.12,-17.97
Tillandsia capillaris,-78.516959,-7.15074
Tillandsia capillaris,-78.517005,-7.150793
Tillandsia capillaris,-78.516982,-7.150775
Tillandsia capillaris,-64.188776,-31.420083
Tillandsia capillaris,-71.64638,-15.629406
Tillandsia capillaris,-69.255935,-32.96472
Tillandsia capillaris,-77.177272,-9.589191
Tillandsia capillaris,-71.983885,-13.511785
Tillandsia capillaris,-72.5,-13.4
Tillandsia capillaris,-68.08333,-16.53333
Tillandsia capillaris,-70.72444,-16.22
Tillandsia capillaris,-70.69111,-16.20639
Tillandsia capillaris,-68.95,-15.18333
Tillandsia capillaris,-68.45,-16.46667
Tillandsia capillaris,-68.097245,-16.53608
Tillandsia capillaris,-68.116229,-16.503578
Tillandsia capillaris,-64.6925,-31.611389
Tillandsia capillaris,-67.021667,-29.299167
Tillandsia capillaris,-66.910556,-32.3625
Tillandsia capillaris,-64.419167,-32.169722
Tillandsia capillaris,-67.763056,-29.342778
Tillandsia capillaris,-64.759444,-30.763611
Tillandsia capillaris,-64.456944,-31.5825
Tillandsia capillaris,-67.187778,-28.573056
Tillandsia capillaris,-65.346667,-18.989167
Tillandsia capillaris,-64.331944,-31.322222
Tillandsia capillaris,-64.924444,-32.052778000000004
Tillandsia capillaris,-64.975,-31.901389000000002
Tillandsia capillaris,-66.330833,-30.374167
Tillandsia capillaris,-64.543889,-31.930556
Tillandsia capillaris,-65.4575,-23.878056
Tillandsia capillaris,-65.9175,-32.392222
Tillandsia capillaris,-64.420278,-33.196667
Tillandsia capillaris,-67.483611,-30.6325
Tillandsia capillaris,-63.806667,-30.271389
Tillandsia capillaris,-64.527778,-31.958333
Tillandsia capillaris,-64.529167,-17.921111
Tillandsia capillaris,-65.321111,-26.7925
Tillandsia capillaris,-64.190833,-31.390833
Tillandsia capillaris,-63.773333,-32.259444
Tillandsia capillaris,-64.583611,-31.198611
Tillandsia capillaris,-63.455833,-31.023333
Tillandsia capillaris,-64.174167,-31.140278
Tillandsia capillaris,-64.616944,-32.184444
Tillandsia capillaris,-64.541667,-33.362222
Tillandsia capillaris,-63.923611,-30.680833
Tillandsia capillaris,-65.101389,-32.084167
Tillandsia capillaris,-65.656944,-25.639444
Tillandsia capillaris,-61.794722,-38.137778
Tillandsia capillaris,-64.658611,-30.371667
Tillandsia capillaris,-64.818333,-28.369167
Tillandsia capillaris,-65.628889,-24.905
Tillandsia capillaris,-65.786111,-28.509167
Tillandsia capillaris,-65.510833,-24.736389
Tillandsia capillaris,-64.243889,-27.869444
Tillandsia capillaris,-64.664722,-31.352222
Tillandsia capillaris,-64.519167,-30.859722
Tillandsia capillaris,-65.901944,-28.613611
Tillandsia capillaris,-65.230833,-26.689167
Tillandsia capillaris,-66.947222,-32.480278
Tillandsia capillaris,-64.50051,-30.8625
Tillandsia capillaris,-64.78003,-31.393056
Tillandsia capillaris,-69.196389,-32.963056
Tillandsia capillaris,-65.171389,-26.111667
Tillandsia capillaris,-64.546389,-31.835
Tillandsia capillaris,-63.700556,-29.506111
Tillandsia capillaris,-64.495556,-30.861944
Tillandsia capillaris,-65.167222,-26.509444
Tillandsia capillaris,-67.156667,-27.710278
Tillandsia capillaris,-64.457778,-31.586389
Tillandsia capillaris,-64.559722,-30.863611
Tillandsia capillaris,-64.9075,-17.722778
Tillandsia capillaris,-65.305278,-19.513889
Tillandsia capillaris,-64.112778,-32.175833
Tillandsia capillaris,-65.373333,-24.049444
Tillandsia capillaris,-65.773056,-24.745556
Tillandsia capillaris,-67.485278,-30.636111
Tillandsia capillaris,-64.3575,-31.145278
Tillandsia capillaris,-64.898889,-31.671944
Tillandsia capillaris,-64.585556,-31.481667
Tillandsia capillaris,-64.720833,-32.707222
Tillandsia capillaris,-68.068333,-16.538611
Tillandsia capillaris,-65.821389,-17.396389
Tillandsia capillaris,-66.14,-17.378056
Tillandsia capillaris,-65.330833,-33.870278
Tillandsia capillaris,-64.204722,-31.411667
Tillandsia capillaris,-65.016389,-31.807222
Tillandsia capillaris,-65.01,-23.468889
Tillandsia capillaris,-64.536111,-30.854722
Tillandsia capillaris,-64.277778,-31.196944
Tillandsia capillaris,-65.631944,-27.106111
Tillandsia capillaris,-64.629444,-30.788611
Tillandsia capillaris,-65.025556,-31.807222
Tillandsia capillaris,-64.521389,-30.858611
Tillandsia capillaris,-67.607222,-28.731111
Tillandsia capillaris,-65.293056000000007,-23.539722
Tillandsia capillaris,-64.324444,-30.564444
Tillandsia capillaris,-66.733889,-30.816667
Tillandsia capillaris,-64.3775,-31.049167
